facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,hygiene_risk
F0044,7,2,4.4,4.8,60.5,1,582,4,2026-04-26,8.4,Medium
F0045,5,4,7.8,3.3,4.9,1,496,2,2026-07-16,4.0,Low
F0046,7,2,5.5,5.6,72.9,1,432,3,2026-08-06,0.8,Medium
F0047,5,5,7.4,1.7,18.0,0,492,7,2026-06-12,1.0,Medium
F0048,5,0,8.0,4.1,2.9,1,629,2,2026-09-01,1.3,Low
F0049,4,0,6.4,2.1,40.3,1,805,2,2026-05-01,2.1,Low
F0050,2,4,7.5,2.8,50.3,1,469,6,2026-02-02,9.2,Medium
F0051,5,3,5.4,6.9,77.9,1,588,6,2026-07-14,11.0,High
F0052,5,2,6.3,5.7,41.1,1,754,3,2026-04-23,5.8,Medium
F0053,2,5,6.1,6.4,31.2,1,640,7,2026-01-14,9.7,Medium
F0054,9,2,2.8,7.9,75.5,1,591,9,2026-07-14,0.5,High
F0055,9,2,4.7,6.6,67.9,0,308,10,2026-01-27,4.1,High
F0056,0,2,4.6,5.1,40.8,1,444,2,2026-01-11,1.7,Medium
F0057,8,0,6.6,5.9,68.2,1,781,4,2026-02-28,2.2,Medium
F0058,1,5,8.3,2.9,29.3,1,185,0,2026-04-12,3.8,Low
F0059,9,5,5.4,3.9,72.7,1,656,9,2026-01-22,6.9,High
F0060,2,0,10.0,1.0,17.9,1,197,3,2026-02-24,13.0,Low
F0061,5,4,4.0,5.2,62.0,1,203,5,2026-09-05,25.2,High
F0062,7,4,9.8,2.0,0.0,1,444,4,2026-08-19,2.5,Low
F0063,0,1,3.8,6.4,59.4,1,649,6,2026-05-24,5.0,High
F0064,5,1,7.6,4.6,21.4,1,489,4,2026-05-04,3.9,Low
F0065,2,1,5.9,3.7,60.5,1,449,4,2026-06-26,2.1,Medium
F0066,1,1,4.8,5.0,54.7,1,374,6,2026-06-11,9.6,Medium
F0067,1,2,3.3,7.2,76.2,1,571,9,2026-05-25,9.7,High
F0068,3,0,6.1,4.5,59.8,1,400,4,2026-01-28,0.5,Medium
F0069,6,0,6.1,4.3,58.1,1,241,3,2026-04-05,6.4,Medium
F0070,8,2,6.8,5.6,35.0,1,359,4,2026-01-28,7.4,Medium
F0071,5,4,8.1,1.0,38.2,1,514,1,2026-07-14,4.0,Low
F0072,7,1,4.9,5.6,75.7,1,359,6,2026-02-20,24.2,High
F0073,6,2,7.1,5.8,42.9,1,543,2,2026-05-30,0.5,Medium
F0074,2,3,7.2,3.5,48.3,1,574,4,2026-04-12,2.3,Medium
F0075,5,3,3.8,6.7,89.8,1,205,6,2026-05-28,1.4,High
F0076,2,1,9.4,1.0,19.7,1,391,3,2026-01-21,4.3,Low
F0077,0,3,5.8,6.1,79.9,1,735,12,2026-05-18,6.4,High
F0078,5,3,4.1,7.0,56.4,1,263,6,2026-08-12,36.0,High
F0079,3,3,4.5,6.7,58.7,1,523,4,2026-07-25,4.0,High
F0080,3,4,6.5,3.4,46.9,1,649,4,2026-01-01,5.4,Medium
F0081,5,1,5.4,6.0,38.2,1,712,6,2026-05-28,10.7,High
F0082,3,4,8.7,2.0,24.0,1,535,0,2026-01-08,2.8,Low
F0083,2,4,10.0,3.2,25.3,1,302,0,2026-05-20,13.4,Low
F0084,1,0,6.4,5.6,43.1,1,60,6,2026-03-11,5.3,Medium
F0085,8,4,6.9,1.6,26.7,1,757,3,2026-09-08,0.5,Low
F0086,7,5,2.8,7.0,73.7,1,196,6,2026-04-07,2.9,High
F0087,5,3,3.6,9.1,59.2,1,532,4,2026-03-19,18.4,High
F0088,6,1,10.0,3.4,37.9,1,773,4,2026-08-22,0.8,Low
F0089,9,1,8.8,4.3,28.2,1,413,1,2026-02-11,2.3,Low
F0090,0,3,5.1,6.7,45.5,1,357,3,2026-01-19,15.4,Medium
F0091,5,2,6.7,6.3,39.4,1,583,5,2026-02-21,28.7,High
F0093,7,4,4.0,8.0,69.7,1,553,6,2026-03-15,3.6,High
F0094,1,4,4.4,5.7,50.6,1,628,5,2026-03-22,2.5,Medium
F0095,1,2,10.0,1.0,1.1,1,966,0,2026-09-05,4.6,Low
F0096,4,3,10.0,1.0,21.0,1,415,1,2026-07-22,13.3,Low
F0097,0,0,3.8,6.4,67.7,1,360,7,2026-04-28,5.1,High
F0098,1,1,5.5,5.7,61.4,1,443,3,2026-03-12,8.6,Medium
F0099,7,2,5.4,4.7,36.2,1,535,4,2026-03-31,0.7,Medium
F0100,4,1,9.4,2.2,0.0,1,254,1,2026-09-04,1.3,Low
F0101,3,0,8.8,1.0,17.4,1,447,0,2026-07-23,1.9,Low
F0102,0,4,3.9,8.2,74.4,1,580,8,2026-05-15,10.4,High
F0103,1,1,8.4,1.0,34.3,1,531,0,2026-04-24,16.2,Low
F0104,5,3,4.8,7.5,31.4,1,328,6,2026-06-05,21.9,High
F0105,2,1,9.7,2.9,24.8,1,612,3,2026-03-21,10.2,Low
F0106,5,2,5.7,6.5,60.2,1,484,5,2026-08-16,3.5,Medium
F0107,5,3,6.9,3.6,33.0,0,176,5,2026-03-04,3.3,Medium
F0108,0,2,7.1,2.9,21.0,1,813,4,2026-03-06,2.1,Low
F0109,4,2,9.3,2.6,20.9,1,577,4,2026-01-02,3.0,Low
F0110,7,5,9.7,2.9,13.3,1,770,4,2026-07-03,1.1,Low
F0111,5,5,5.9,5.8,70.7,1,547,3,2026-02-25,10.3,Medium
F0112,6,4,6.9,4.4,58.9,1,701,3,2026-01-16,2.7,Medium
F0113,4,5,7.5,2.4,51.7,1,647,3,2026-03-06,17.2,Medium
F0114,1,1,7.4,2.5,22.3,1,700,3,2026-08-09,4.5,Low
F0115,2,4,8.5,3.7,38.2,1,236,4,2026-08-21,4.2,Low
F0116,1,3,5.1,5.8,44.1,1,413,9,2026-08-31,8.7,High
F0117,1,4,6.8,3.7,59.6,1,635,3,2026-06-18,6.1,Medium
F0118,9,3,5.1,4.7,72.6,1,667,4,2026-06-09,25.9,High
F0119,2,5,5.2,5.4,49.7,1,299,3,2026-04-26,14.0,Medium
F0120,6,2,8.8,4.6,18.7,1,398,2,2026-05-17,19.8,Low
F0121,1,1,5.9,7.3,60.4,1,333,5,2026-01-16,1.2,Medium
F0122,6,2,5.8,4.0,47.2,1,534,6,2026-02-13,2.9,Medium
F0123,9,4,7.8,4.7,26.7,1,274,2,2026-02-28,5.0,Low
F0124,6,2,6.9,5.6,53.4,1,243,4,2026-01-29,1.9,Medium
F0125,3,1,6.0,5.8,55.0,1,558,5,2026-07-14,0.5,Medium
F0126,6,4,5.2,6.0,73.0,1,295,7,2026-08-12,10.2,High
F0127,8,5,9.7,1.0,0.0,1,298,1,2026-06-16,4.1,Low
F0128,3,3,6.7,2.4,47.0,1,334,4,2026-07-25,4.3,Low
F0129,9,1,5.1,6.6,49.4,1,597,7,2026-06-28,5.4,High
F0130,1,2,7.9,4.9,25.7,1,565,4,2026-03-20,1.4,Low
F0131,9,2,8.9,1.5,4.3,1,493,3,2026-06-15,8.6,Low
F0132,4,4,4.6,5.0,66.4,1,514,4,2026-02-07,3.3,Medium
F0133,0,5,5.8,5.3,52.5,1,353,3,2026-08-25,14.5,Medium
F0134,3,2,4.9,8.1,51.4,1,670,5,2026-09-01,1.6,High
F0135,5,5,8.4,2.2,36.4,0,41,4,2026-08-13,0.7,Low
F0136,9,3,6.0,4.2,46.8,1,383,6,2026-01-27,3.1,Medium
F0137,0,1,5.2,7.3,47.1,1,539,5,2026-02-11,25.0,High
F0138,4,5,5.7,6.1,60.8,0,360,7,2026-02-13,6.8,High
F0139,3,0,4.0,8.6,74.1,1,127,6,2026-08-05,10.1,High
F0140,8,3,4.3,7.8,64.7,0,225,11,2026-03-12,1.6,High
F0141,0,4,5.5,7.7,35.1,1,416,3,2026-03-09,5.6,Medium
F0142,2,0,3.1,8.4,81.4,1,93,5,2026-01-23,9.6,High
F0143,7,0,5.8,4.3,39.0,1,491,3,2026-08-29,4.5,Medium
F0144,8,2,6.1,4.2,30.7,1,476,1,2026-08-03,5.2,Low
F0145,4,3,6.7,3.6,41.7,1,744,6,2026-03-05,6.1,Medium
F0146,5,0,8.6,2.5,13.5,0,571,6,2026-04-24,21.9,Medium
F0147,9,2,8.2,2.2,17.4,1,558,2,2026-02-20,0.6,Low
F0148,0,3,8.0,3.7,38.8,1,390,2,2026-08-18,9.2,Low
F0149,4,3,6.7,4.2,43.4,0,552,5,2026-05-02,7.0,Medium
F0150,3,5,7.9,4.4,35.2,1,327,3,2026-01-09,17.7,Medium
F0151,1,5,6.5,5.2,26.0,2,560,4,2026-07-04,4.0,Medium
F0152,9,0,5.7,3.1,44.0,1,873,5,2026-07-18,0.5,Medium
F0153,6,0,6.4,3.4,53.9,1,497,2,2026-03-10,0.8,Low
F0154,8,3,4.8,3.9,51.5,1,474,3,2026-04-04,8.9,Medium
F0155,3,4,5.4,2.6,62.5,1,463,4,2026-07-23,16.3,Medium
F0156,4,3,7.9,3.1,54.3,1,191,5,2026-06-19,15.1,Medium
F0157,3,0,7.0,2.7,26.8,0,569,7,2026-07-08,3.1,Medium
F0158,1,3,9.1,2.6,0.0,1,102,0,2026-06-14,5.9,Low
F0159,0,4,5.7,6.3,29.7,1,546,2,2026-06-30,4.4,Medium
F0160,6,2,7.4,3.0,74.1,0,709,8,2026-03-23,3.4,High
F0161,0,2,8.1,1.3,22.4,1,473,0,2026-01-17,7.8,Low
F0162,9,1,9.9,1.0,0.0,1,453,0,2026-07-23,5.7,Low
F0163,7,5,5.5,8.8,61.4,1,452,8,2026-08-17,18.4,High
F0164,1,1,8.6,1.8,55.0,1,739,5,2026-08-16,4.5,Low
F0165,9,5,10.0,1.0,1.1,1,129,0,2026-03-31,2.6,Low
F0166,5,5,7.5,4.1,74.6,1,451,6,2026-07-08,3.4,Medium
F0167,8,0,9.1,3.9,33.0,1,519,1,2026-02-07,4.9,Low
F0168,8,4,7.4,2.7,23.5,1,177,5,2026-04-04,11.4,Low
F0169,1,0,2.6,8.4,86.9,1,198,9,2026-05-26,1.3,High
F0170,0,5,5.9,6.2,82.0,1,215,4,2026-03-28,0.7,Medium
F0171,0,0,8.0,4.6,26.5,1,135,3,2026-01-24,6.2,Low
F0172,4,4,6.0,3.7,28.6,1,264,2,2026-05-29,7.4,Low
F0173,0,2,6.5,6.9,30.7,1,564,3,2026-06-24,1.3,Medium
F0174,3,5,7.5,2.7,55.1,1,813,1,2026-07-09,1.1,Low
F0175,7,2,7.5,4.1,45.5,1,597,7,2026-08-03,0.5,Medium
F0176,5,0,5.1,7.1,26.0,1,477,6,2026-08-28,36.0,High
F0177,4,5,5.6,5.4,39.5,1,581,6,2026-08-29,6.6,Medium
F0178,2,3,6.9,4.7,40.2,1,410,5,2026-01-24,3.9,Medium
F0179,8,3,5.3,5.3,49.1,1,401,4,2026-03-02,10.8,Medium
F0180,3,3,10.0,1.0,27.4,1,772,1,2026-07-25,1.7,Low
F0181,8,4,7.4,3.8,27.5,1,646,2,2026-06-13,7.0,Low
F0182,5,3,6.2,6.9,44.8,1,216,7,2026-06-03,5.7,Medium
F0183,4,1,4.5,7.9,79.9,1,393,7,2026-08-31,9.7,High
F0184,8,1,6.0,5.5,24.3,1,377,2,2026-07-14,1.4,Low
F0186,3,4,7.1,5.4,21.7,1,526,4,2026-09-02,2.9,Medium
F0187,0,4,5.9,5.8,59.8,1,324,4,2026-05-16,11.1,Medium
F0188,7,1,3.7,7.6,78.5,1,522,11,2026-05-28,2.6,High
F0189,2,0,5.9,4.0,29.9,1,846,6,2026-07-14,2.4,Medium
F0190,4,1,8.4,4.9,19.3,1,348,5,2026-08-15,3.2,Low
F0191,6,1,5.1,6.0,24.5,1,307,3,2026-05-05,1.1,Medium
F0192,6,5,4.7,7.1,54.1,1,589,7,2026-03-12,4.8,High
F0193,6,3,7.5,3.4,18.0,1,58,2,2026-05-27,7.9,Low
F0194,8,3,4.8,5.7,50.5,1,465,5,2026-08-02,19.1,High
F0195,9,0,8.3,2.7,0.0,0,444,5,2026-02-24,19.5,Medium
F0196,7,3,6.2,3.0,51.9,1,520,4,2026-05-20,5.3,Medium
F0197,8,5,4.9,7.9,44.6,1,148,5,2026-04-09,3.1,Medium
F0198,8,4,9.1,3.6,0.0,1,336,1,2026-04-05,8.3,Low
F0199,4,1,5.8,6.1,49.1,1,590,4,2026-01-06,23.1,High
F0200,1,1,9.3,1.1,26.2,1,303,1,2026-06-09,8.7,Low
F0201,3,4,7.8,2.7,24.4,1,327,2,2026-08-01,1.2,Low
F0202,3,4,3.8,7.3,42.6,1,454,4,2026-02-11,6.8,High
F0203,9,5,4.6,6.2,66.5,1,376,6,2026-03-26,17.5,High
F0204,5,2,8.7,1.0,31.3,1,20,1,2026-01-29,4.4,Low
F0205,0,3,4.3,6.6,77.9,1,516,4,2026-04-22,9.6,High
F0206,6,0,8.5,3.6,29.1,1,943,3,2026-08-30,0.5,Low
F0207,2,3,3.7,8.5,72.5,1,20,8,2026-07-13,4.1,High
F0208,3,2,6.3,3.9,26.5,1,314,2,2026-07-21,1.5,Low
F0209,7,4,6.2,3.9,49.2,1,431,2,2026-04-28,8.4,Medium
F0210,0,3,5.8,4.6,59.1,0,413,7,2026-08-03,12.4,High
F0211,7,5,6.4,5.1,31.8,1,296,4,2026-08-13,15.4,Medium
F0212,0,5,7.0,4.5,66.4,1,248,4,2026-06-13,12.7,Medium
F0213,2,5,6.9,1.7,42.3,0,878,6,2026-03-31,5.5,Medium
F0214,2,2,7.2,1.0,38.2,0,246,3,2026-08-02,2.9,Medium
F0215,3,4,6.0,5.8,37.9,1,391,5,2026-01-30,14.6,Medium
F0216,9,3,8.1,4.5,25.5,1,436,4,2026-08-19,7.8,Low
F0217,5,2,2.9,7.6,88.8,1,498,10,2026-04-22,0.5,High
F0218,5,2,7.9,3.9,21.7,0,945,7,2026-03-02,24.5,High
F0219,4,0,5.4,3.7,45.2,1,528,3,2026-06-07,2.5,Medium
F0220,9,0,7.0,2.5,37.7,1,676,3,2026-04-15,13.7,Medium
F0221,7,0,4.3,7.6,64.7,1,551,5,2026-03-20,20.5,High
F0222,5,4,5.5,5.7,70.5,1,20,4,2026-09-08,3.1,Medium
F0223,3,3,8.1,4.9,40.0,1,736,2,2026-01-31,18.7,Medium
F0224,1,1,5.7,5.6,46.0,1,453,5,2026-04-29,1.1,Medium
F0225,6,5,7.2,4.5,32.4,1,451,5,2026-01-09,20.4,Medium
F0226,8,3,4.9,5.9,57.2,1,336,9,2026-08-09,0.5,High
F0227,5,5,8.4,1.8,27.5,1,735,3,2026-07-27,3.3,Low
F0228,1,4,5.7,5.4,72.3,1,472,5,2026-01-17,35.9,High
F0229,3,3,4.7,7.4,61.5,1,440,4,2026-02-18,5.2,High
F0230,3,5,7.7,3.7,62.6,1,270,3,2026-05-24,19.3,Medium
F0231,4,2,5.7,4.6,52.2,1,398,6,2026-02-09,1.2,Medium
F0232,1,5,3.2,6.3,66.1,1,308,5,2026-03-13,3.6,High
F0233,6,1,6.4,3.4,52.7,1,522,3,2026-06-17,7.0,Medium
F0234,1,5,4.7,5.7,100.0,1,106,9,2026-07-14,4.2,High
F0235,1,3,6.0,5.9,57.9,1,507,6,2026-07-04,11.5,High
F0236,3,5,8.0,4.1,30.4,1,415,4,2026-08-18,1.6,Low
F0237,2,3,5.5,5.5,67.5,1,579,6,2026-07-31,11.5,High
F0238,8,0,6.2,4.5,28.5,0,442,9,2026-03-28,8.7,High
F0239,5,5,5.7,6.7,64.5,1,520,7,2026-05-07,5.0,High
F0240,9,4,7.1,2.8,27.7,1,650,3,2026-07-14,13.8,Medium
F0241,8,4,4.6,8.5,84.6,1,20,7,2026-06-10,2.9,High
F0242,4,4,6.0,6.1,45.7,1,142,4,2026-07-12,2.1,Medium
F0243,5,0,3.5,9.8,85.4,1,1148,11,2026-04-18,10.9,High
F0244,7,0,6.9,4.3,35.3,1,521,2,2026-06-05,1.1,Low
F0245,3,3,4.8,4.5,60.1,0,346,7,2026-08-03,4.9,High
F0246,9,2,7.7,3.6,19.9,0,124,5,2026-05-08,0.7,Medium
F0247,1,0,6.1,4.6,68.0,1,395,6,2026-01-06,10.5,Medium
F0248,0,1,6.0,5.4,70.8,1,370,4,2026-08-26,3.5,Medium
F0249,9,0,4.7,6.3,66.2,1,445,9,2026-03-14,24.5,High
F0250,9,3,9.4,1.0,37.8,1,372,2,2026-08-20,9.6,Low
F0251,3,2,5.3,8.0,74.7,1,713,9,2026-05-05,8.5,High
F0252,2,4,10.0,1.0,8.0,1,47,1,2026-04-06,7.5,Low
F0253,0,3,9.0,2.3,27.1,1,708,3,2026-02-02,9.1,Low
F0254,3,1,9.5,2.0,0.0,1,465,2,2026-09-08,8.3,Low
F0255,0,5,5.7,6.5,45.3,1,497,6,2026-06-02,4.6,Medium
F0256,2,5,8.9,2.7,25.7,1,382,3,2026-07-18,8.9,Low
F0257,4,2,7.6,4.4,41.4,1,717,6,2026-09-08,7.8,Medium
F0258,2,5,6.4,5.6,69.2,1,789,3,2026-04-10,5.0,Medium
F0259,4,3,4.2,6.7,58.4,1,220,6,2026-04-23,5.0,High
F0260,0,3,6.6,4.1,59.8,1,80,4,2026-02-27,10.9,Medium
F0261,1,1,6.1,6.5,64.6,1,414,4,2026-08-06,10.7,Medium
F0262,5,3,6.9,5.1,19.4,1,670,4,2026-02-14,3.2,Medium
F0263,7,2,6.6,3.5,49.5,1,158,3,2026-03-13,9.3,Medium
F0264,4,5,5.6,6.0,34.5,1,320,4,2026-05-30,29.0,High
F0265,8,1,6.0,7.6,69.0,1,399,6,2026-05-22,24.7,High
F0266,8,5,2.2,9.5,74.3,1,606,6,2026-09-08,8.5,High
F0267,5,4,4.6,5.0,56.7,1,491,4,2026-07-08,11.0,Medium
F0268,1,5,8.2,2.8,29.1,1,391,0,2026-07-03,4.6,Low
F0269,9,1,2.4,10.0,87.8,1,200,7,2026-09-06,2.5,High
F0270,5,4,6.1,4.9,42.8,1,450,4,2026-03-22,19.9,Medium
F0271,1,1,10.0,1.0,18.3,1,751,3,2026-05-21,7.9,Low
F0272,2,1,10.0,1.0,16.5,1,387,0,2026-04-30,7.4,Low
F0273,1,4,7.1,4.2,39.4,1,516,4,2026-06-25,5.5,Medium
F0274,4,2,6.5,4.0,28.5,1,767,6,2026-07-08,0.8,Medium
F0275,5,0,3.8,8.8,81.9,1,206,5,2026-03-26,0.5,High
F0276,1,2,5.4,5.3,34.0,1,145,5,2026-02-14,14.7,Medium
F0277,6,1,6.4,2.9,17.6,1,806,4,2026-05-26,1.1,Low
F0278,5,4,7.2,4.4,30.5,1,512,5,2026-05-03,7.8,Medium
F0279,9,5,8.1,3.9,14.8,0,279,6,2026-08-04,32.5,High
F0280,7,3,6.0,4.1,26.3,0,435,7,2026-05-15,0.5,Medium
F0281,4,3,10.0,1.0,2.8,1,538,0,2026-03-20,10.9,Low
F0282,4,1,7.3,3.1,51.9,1,527,2,2026-02-03,3.7,Low
F0283,1,3,2.1,10.0,83.8,0,594,11,2026-03-31,0.9,High
F0284,8,0,6.0,4.5,27.0,1,686,4,2026-05-13,11.5,Medium
F0285,4,1,8.7,3.9,20.3,1,885,3,2026-02-02,0.5,Low
F0286,9,2,5.0,7.8,53.9,1,355,6,2026-03-27,14.7,High
F0287,6,4,6.4,5.2,24.3,1,272,6,2026-05-06,5.3,Medium
F0288,7,0,7.4,1.7,59.1,1,487,3,2026-08-03,12.2,Medium
F0289,3,3,6.4,7.5,33.3,1,802,5,2026-04-25,1.0,Medium
F0290,6,0,5.8,5.7,48.3,1,344,8,2026-08-22,3.0,Medium
F0291,3,2,7.1,5.5,31.6,1,719,2,2026-04-11,6.7,Medium
F0292,9,3,6.5,6.3,69.9,1,127,4,2026-01-05,8.9,Medium
F0293,4,3,6.5,3.2,42.6,1,241,0,2026-03-14,30.6,Medium
F0294,0,3,8.7,3.2,26.5,1,30,3,2026-02-13,4.6,Low
F0295,2,1,3.7,7.2,53.9,1,611,8,2026-06-11,8.1,High
F0296,8,3,7.6,4.0,22.8,1,484,7,2026-02-25,1.1,Low
F0297,1,2,7.5,4.8,20.1,0,581,6,2026-03-03,1.7,Medium
F0298,1,1,7.8,3.6,20.6,1,308,2,2026-03-17,14.6,Low
F0299,3,1,6.4,5.8,23.4,1,402,5,2026-08-20,35.1,High
F0300,8,2,6.8,3.6,38.9,1,460,3,2026-04-24,0.5,Low
F0301,7,1,7.2,2.7,23.4,1,198,3,2026-02-03,2.2,Low
F0302,6,2,6.0,4.4,50.6,0,524,6,2026-08-25,0.5,High
F0303,4,4,8.2,2.2,25.6,1,175,0,2026-05-21,4.2,Low
F0304,6,3,9.7,1.6,12.2,1,434,2,2026-09-03,4.0,Low
F0305,9,4,6.2,5.5,55.3,1,864,6,2026-07-15,7.5,Medium
F0307,1,2,9.8,1.6,8.9,1,822,0,2026-03-23,3.3,Low
F0308,0,4,5.7,4.7,41.5,1,494,4,2026-04-23,36.0,High
F0309,9,5,4.2,8.8,69.1,1,316,6,2026-01-15,12.3,High
F0310,8,4,2.4,7.1,73.4,1,883,8,2026-06-08,5.1,High
F0311,8,0,7.0,4.1,36.7,1,403,1,2026-06-24,3.0,Low
F0312,1,0,4.1,7.6,68.0,1,497,7,2026-07-06,5.6,High
F0313,9,2,5.6,3.6,40.7,1,327,4,2026-09-07,27.9,Medium
F0314,2,0,4.4,6.2,45.1,0,273,7,2026-03-31,8.2,High
F0315,8,5,6.2,3.7,46.6,1,441,6,2026-01-17,6.4,Medium
F0316,1,2,3.8,6.2,91.0,1,364,6,2026-06-19,5.1,High
F0317,4,2,5.4,6.5,29.8,1,20,4,2026-01-06,8.3,Medium
F0318,8,4,4.7,6.3,64.9,1,438,6,2026-08-03,3.7,High
F0319,5,3,4.5,6.6,55.3,1,400,4,2026-03-25,15.0,High
F0320,8,1,4.0,7.1,62.5,1,422,7,2026-07-12,3.1,High
F0321,0,4,10.0,2.4,24.6,0,402,4,2026-03-26,16.8,Medium
F0322,4,0,4.5,6.8,66.9,1,555,9,2026-05-16,9.6,High
F0323,7,3,6.4,5.0,20.3,1,246,2,2026-09-03,3.4,Low
F0324,5,4,7.1,4.7,39.5,1,798,6,2026-07-23,2.8,Medium
F0325,5,0,7.6,2.8,24.9,1,260,3,2026-08-14,3.6,Low
F0326,3,4,6.9,4.3,50.8,1,434,2,2026-06-26,0.7,Low
F0327,0,2,8.9,1.8,0.0,1,290,0,2026-09-01,4.1,Low
F0328,1,4,5.6,4.9,52.4,0,372,6,2026-03-17,17.3,High
F0329,0,0,9.0,5.3,46.1,1,360,4,2026-03-17,4.1,Low
F0330,3,4,6.3,3.8,65.7,1,669,6,2026-05-22,6.0,Medium
F0331,1,5,6.7,4.2,36.0,1,151,4,2026-02-21,0.9,Low
F0332,0,5,8.4,3.0,2.2,1,759,0,2026-09-06,2.3,Low
F0333,6,1,5.2,5.9,39.3,1,604,3,2026-05-02,3.9,Medium
F0334,1,2,8.8,1.2,24.5,1,225,4,2026-09-09,2.8,Low
F0335,2,1,9.8,3.8,0.0,1,573,1,2026-04-19,4.0,Low
F0336,8,5,5.4,4.0,55.0,1,795,6,2026-07-26,0.5,Medium
F0337,4,0,6.7,4.1,51.0,1,819,1,2026-04-12,2.2,Medium
F0338,8,4,7.5,4.2,19.6,1,469,3,2026-08-17,3.5,Low
F0339,0,2,4.9,5.5,73.3,1,829,6,2026-03-25,8.8,High
F0340,5,2,8.2,4.0,12.4,1,402,4,2026-01-05,0.5,Low
F0341,2,0,4.9,4.7,68.6,1,438,8,2026-08-05,2.7,High
F0342,3,1,5.8,4.3,52.3,1,125,4,2026-01-04,6.6,Medium
F0343,9,0,10.0,1.0,0.0,1,318,0,2026-05-22,8.6,Low
F0344,0,4,6.6,4.3,64.6,0,392,8,2026-01-30,10.9,High
F0345,0,1,4.9,4.4,54.2,0,114,6,2026-01-19,2.3,High
F0346,9,5,7.3,6.1,35.5,1,353,1,2026-09-01,7.6,Medium
F0347,9,1,6.0,5.8,38.2,1,194,4,2026-04-04,4.8,Medium
F0348,0,0,3.4,8.6,78.4,1,293,10,2026-05-14,3.0,High
F0349,2,5,5.5,5.6,71.2,1,533,5,2026-03-03,7.3,High
